REFERENCE,PLACENAME,DESIGNATION,STATUS,GAZETTE DATE,GEOGRAPHICAL NAME,PREVIOUS NAMES,GNB FILE,LGA,APPROX. AGD66 LAT,APPROX. AGD66 LONG,APPROX. GDA94 LAT,APPROX. GDA94 LONG,AGD66 TOPO MAP,1:100000 MAP NAME,1:100000 MAP NO,PARISH,COUNTY,DESCRIPTION,MEANING,ORIGIN,HISTORY
39513,Mosmans Bay,BAY,DUALASSIGNED,7th January 2005,Goram Bullagong,"Great Sirius Cove (R),; Mosman Bay or Goram - Bullagong (R); Mosman Bay (Nr)",GNB5005,NORTH SYDNEY,-33  50  00, 151  13  00,-33  49  54, 151  13  04,PARRAMATTA RIVER,SYDNEY,9130,WILLOUGHBY,CUMBERLAND,A bay within Port Jackson about 1 km S of Cremorne Junction. This feature is dual named.          ,   ,    ,  
39518,Mosquito Bay,BAY,ASSIGNED,24th December 1971,"","","",EUROBODALLA,-35  47  00, 150  13  00,-35  46  54, 150  13  04,MOGO,BATEMANS BAY,8926,BATEMAN,ST VINCENT,Bay within Batemans Bay about 1 km N of village of Malua Bay.           ,   ,    ,  
40083,Mud Bay,BAY,ASSIGNED,22nd December 1972,"","","",HASTINGS,-31  41  00, 152  46  00,-31  40  54, 152  46  04,LAURIETON,CAMDEN HAVEN,9434,CAMDEN HAVEN,MACQUARIE,A bay in Watson Taylors Lake about 4 km SSW of Town of Laurieton.           ,   ,    ,  
40092,Muddy Bay,BAY,VARIANT,"",Koonawarra Bay,"","",WOLLONGONG,-34  30  30, 150  49  00,-34  30  24, 150  49  04,"",KIAMA,9028,"","",           ,   ,    ,  
40741,Murphys Bay,BAY,ASSIGNED,4th January 1974,"","","",GOSFORD,-33  28  16, 151  19  08,-33  28  10, 151  19  12,GOSFORD,GOSFORD,9131,PATONGA,NORTHUMBERLAND,A bay about 2 km N of Woy Woy and about 2 km S by E of Tascott.           ,   ,"Named after Andrew Murphy, who pioneered native seed exports, was involved in the early lime-burning trade, also kept holiday cottages.   ",  
41227,Mystery Bay,BAY,ASSIGNED,18th August 1972,"","","",EUROBODALLA,-36  18  16, 150  08  07,-36  18  10, 150  08  11,CENTRAL TILBA,NAROOMA,8925,NAROOMA,DAMPIER,"A bay on the south coast, lying on the NW of Boat Harbour Point and 5.5 km E by N of Central Tilba.          ",   ,"Named after the unexplained disappearance of five men, including the government geologist Lamont Young, on the 10 October 1880. Their empty boat was found in mysterious circumstances,  abandoned and wrecked,  on a reef in the bay. ",  
41232,Myuna Bay,BAY,ASSIGNED,24th October 1975,"",Pantaloon Bay,"",LAKE MACQUARIE,-33  04  00, 151  33  15,-33  03  54, 151  33  19,SWANSEA,LAKE MACQUARIE,9231,WALLARAH,NORTHUMBERLAND,A bay about 3 km E of the village of Eraring and about 2.5 km W by W of Arcadia Vale.          ,For: 'clear water'. (McCarthy. 1963).   ,Aboriginal.    ,  
41698,Native Dog Bay,BAY,ASSIGNED,20th June 1975,"","","",GOSFORD,-33  27  30, 151  14  00,-33  27  24, 151  14  04,GUNDERMAN,GOSFORD,9131,COWAN,NORTHUMBERLAND,A bay in Mooney Mooney Creek about 4 km S by W of Dublin Jacks Hill and about 6 km E by S of Never Fail Island.          ,   ,    ,  
41939,Nelson Bay,BAY,ASSIGNED,11th March 1977,"",Nelsons Bay,"",WAVERLEY,-33  54  30, 151  16  00,-33  54  24, 151  16  04,BOTANY BAY,SYDNEY,9130,ALEXANDRIA,CUMBERLAND,A bay about 1 km SW by S of Bondi Bay and about 2 km E of Queens Park.           ,   ,    ,  
41940,Nelson Bay,BAY,ASSIGNED,17th September 1976,"","","",PORT STEPHENS,-32  43  00, 152  08  30,-32  42  54, 152  08  34,PORT STEPHENS,PORT STEPHENS,9332,TOMAREE,GLOUCESTER,A bay within Port Stephens about 2 km NE of Gan Gan Hill.           ,   ,    ,  
41955,Nelsons Bay,BAY,VARIANT,"",Nelson Bay,"","","",-33  54  30, 151  16  00,-33  54  24, 151  16  04,"",SYDNEY,9130,"","",           ,   ,    ,  
42008,Neranie Bay,BAY,ASSIGNED,14th January 1977,"","","",GREAT LAKES,-32  24  00, 152  27  00,-32  23  54, 152  27  04,MYALL LAKE,BULAHDELAH,9333,EURUNDEREE,GLOUCESTER,A bay in Myall Lake about 3km NW by N of Bridge Hill and about 2km SE by E of Bungwahl Trig Station.          ,   ,    ,  
42069,Neutral Bay,BAY,ASSIGNED,18th February 1977,"",Neutral Harbour or Wurri-Birri Bay,"",NORTH SYDNEY,-33  50  00, 151  13  00,-33  49  54, 151  13  04,PARRAMATTA RIVER,SYDNEY,9130,WILLOUGHBY,CUMBERLAND,A bay within Port Jackson about 3 km SE of St Leonards.           ,   ,"Govenor Phillip named the bay after directing that all foreign ships entering the harbour should anchor in a 'neutral' place.  [John Thogersen, Sydney Harbour Its Place Names]  ",  
42075,Neutral Harbour or Wurri-Birri,BAY,VARIANT,"",Neutral Bay,"","","",-33  50  00, 151  13  00,-33  49  54, 151  13  04,"",SYDNEY,9130,"","",           ,   ,    ,  
42080,Neverfail Bay,BAY,ASSIGNED,23rd November 1973,"","","",KOGARAH,-33  59  40, 151  04  20,-33  59  34, 151  04  24,BOTANY BAY,SYDNEY,9130,ST GEORGE,CUMBERLAND,A bay on the Georges River S of Oatley.           ,   ,    ,  
42081,Neverfail Bay,BAY,ASSIGNED,19th November 1976,"","","",HORNSBY,-33  34  30, 151  08  00,-33  34  24, 151  08  04,COWAN,SYDNEY,9130,BEROWRA,CUMBERLAND,A bay about 2 km NE by E of Calabash Bay and about 3 km SSE of Coba Trig. Station.          ,   ,    ,  
42204,New Gulch,BAY,ASSIGNED,18th April 1980,"",The New Gulch,"",LORD HOWE,-31  30  00, 159  02  00,-31  29  54, 159  02  04,LORD HOWE ISLAND,LORD HOWE ISLAND,,LORD HOWE ISLAND,LORD HOWE ISLAND,A bay W of Mount Eliza and about 1 km N by W of North Head.           ,   ,    ,  
42207,Newham Bay,BAY,ASSIGNED,26th May 1978,"","","",BOOROWA,-33  56  00, 148  59  00,-33  55  54, 148  59  04,COWRA,COWRA,8630,WYANGALA,KING,A Bay on Lake Wyongala. It is about 2 km ENE of Steel Head and 1 km S of Round Hill.          ,   ,Named after Pioneer in the area.    ,  
42404,Night Bay,BAY,VARIANT,"",Lovett Bay,"","","",-33  38  00, 151  16  00,-33  37  54, 151  16  04,"",SYDNEY,9130,"","",           ,   ,    ,  
42416,Nijong Bay,BAY,ASSIGNED,29th June 1973,"","","",WOLLONGONG,-34  32  00, 150  49  00,-34  31  54, 150  49  04,ALBION PARK,KIAMA,9028,CALDERWOOD,CAMDEN,A bay about 4 km W of Bevans Island and about 4 km SSE of Dapto.           ,   ,    ,  
42702,North Arm Cove,BAY,ASSIGNED,17th September 1976,"","","",PORT STEPHENS,-32  40  00, 152  03  00,-32  39  54, 152  03  04,PORT STEPHENS,PORT STEPHENS,9332,SUTTON,GLOUCESTER,A bay within Port Stephens about 7 km N of Bulls Island.           ,   ,    ,This name appears on the map prepared by Captain P King in 1845.  
42716,North Bay,BAY,ASSIGNED,18th April 1980,"",Callaams Bay; Callans Bay; Callum Bay,"",LORD HOWE,-31  31  00, 159  02  00,-31  30  54, 159  02  04,LORD HOWE ISLAND,LORD HOWE ISLAND,,LORD HOWE ISLAND,LORD HOWE ISLAND,A bay between the coral reef and Dawsons Point about 800 m SW of Kim Lookout.          ,   ,    ,  
43142,Nullica Bay,BAY,ASSIGNED,6th April 1973,"","","",BEGA VALLEY,-37  05  00, 149  53  00,-37  04  54, 149  53  04,EDEN,EDEN,8823,EDEN,AUCKLAND,"A bay, forming the South West portion of Twofold Bay, 3 km South West of the Town of Eden.          ",   ,    ,  
43742,Oatley Bay,BAY,ASSIGNED,11th March 1977,"","","",KOGARAH,-33  59  30, 151  05  00,-33  59  24, 151  05  04,BOTANY BAY,SYDNEY,9130,ST GEORGE,CUMBERLAND,A bay off the Georges River about 3 km W by N of Blakehurst and about 1km NE by N of Froghollow Bay.          ,   ,    ,  
43762,Obelisk Bay,BAY,ASSIGNED,16th July 1976,"","","",MOSMAN,-33  50  00, 151  15  30,-33  49  54, 151  15  34,SYDNEY HEADS,SYDNEY,9130,WILLOUGHBY,CUMBERLAND,A bay N of Georges Head about 2 km NNW of Vaucluse Point.           ,   ,OBELISK BAY - derived from obelisk erected as a steering mark. P. 332. (Infor. from RAHS Journal Vol 31 part 5)                           Vol 4 page 443 ,  
43907,Ohmas Bay,BAY,ASSIGNED,28th January 1977,"","",GNB1477,GREATER TAREE,-32  10  00, 152  29  00,-32  09  54, 152  29  04,COOLONGOLOOK,BULAHDELAH,9333,TUNCURRY,GLOUCESTER,A bay about 1 km SSW of Tuncurry and about 7 km N by E of Coomba.           ,   ,Named after Adolph Ohma who had an association of approximately seventy years with this area.  (Ohma H letter dated 14 December 1976)   ,  
43967,Old Gulch,BAY,ASSIGNED,18th April 1980,"",The Gulch; Collins Cove,"",LORD HOWE,-31  30  00, 159  02  00,-31  29  54, 159  02  04,LORD HOWE ISLAND,LORD HOWE ISLAND,,LORD HOWE ISLAND,LORD HOWE ISLAND,"A bay east of Mount Eliza, between Fishy Point and Curio Point.           ",   ,    ,  
43991,Old Mangrove Bay,BAY,ASSIGNED,12th May 1978,"","",GNB1622,PITTWATER,-33  39  00, 151  18  00,-33  38  54, 151  18  04,MONA VALE,SYDNEY,9130,NARRABEEN,CUMBERLAND,A bay within Pittwater about 3 km SE of Scotland Island.           ,   ,"The bay contains several stands of numerous mangrove trees, several of these being extremely tall and old.   ",  
44052,O'Neills Bay,BAY,ASSIGNED,12th June 1981,"","","",SNOWY RIVER,-36  06  00, 148  48  00,-36  05  54, 148  48  04,CADDIGAT CREEK,BERRIDALE,8625,ADAMINIBY,WALLACE,A bay within Lake Eucumbene and about 3 km SSW of Queengallery Trig. Station and about 4 km NW of Monaro Point.          ,   ,    ,  
44077,Olga Bay,BAY,ASSIGNED,19th November 1976,"","","",HORNSBY,-33  32  30, 151  11  00,-33  32  24, 151  11  04,COWAN,SYDNEY,9130,COWAN,CUMBERLAND,A bay about 4km NW of Brooklyn and about 2 km W by S of Spectacle Island.          ,   ,    ,  
44160,One Tree Bay,BAY,ASSIGNED,21st November 1969,"","","",SHOALHAVEN,-35  08  00, 150  35  00,-35  07  54, 150  35  04,CURRARONG,JERVIS BAY,9027,FARNHAM,ST VINCENT,A bay in St. Georges Basin into which Booroowungan Creek flows about 2 1/2 miles NNW of Sussex Inlet.          ,   ,    ,  
44552,Oyster Bay,BAY,ASSIGNED,4th May 1973,"","","",SUTHERLAND SHIRE,-34  00  00, 151  06  00,-33  59  54, 151  06  04,PORT HACKING,PORT HACKING,9129,SUTHERLAND,CUMBERLAND,A bay between Kangaroo Point and Caravan Head about 3.5 km NNE of Sutherland.          ,   ,    ,  
44757,Paling Fence Bay,BAY,ASSIGNED,17th September 1976,"","","",GREAT LAKES,-32  15  00, 152  28  00,-32  14  54, 152  28  04,COOLONGOLOOK,BULAHDELAH,9333,FORSTER,GLOUCESTER,A bay within Wallis Lake about 5 km SE by S of Rose Point.           ,   ,    ,  
44812,Palmers Bay,BAY,ASSIGNED,3rd December 1976,"","","",GREAT LAKES,-32  28  00, 152  22  00,-32  27  54, 152  22  04,MYALL LAKE,BULAHDELAH,9333,EURUNDEREE,GLOUCESTER,A bay in Myall Lake about 2 km SE by E of McGraths Islands and about 3 km SW bY W of Limestone Hill.          ,   ,"Named after the lone survivor of the shipwreok, of Fiona arona around 1880, who settled in the area.   ",  
44919,Pantaloon Bay,BAY,VARIANT,"",Myuna Bay,"","","",-33  04  00, 151  34  00,-33  03  54, 151  34  04,"",LAKE MACQUARIE,9231,"","",           ,   ,    ,  
45055,Parks Bay,BAY,ASSIGNED,29th August 1975,"","","",GOSFORD,-33  28  43, 151  19  16,-33  28  37, 151  19  20,GOSFORD,GOSFORD,9131,PATONGA,NORTHUMBERLAND,A bay in Brisbane Water about 2 km W by S of Mount Pleasant and about 1 km NNW of the town Woy Woy.          ,   ,    ,  
45147,Parsley Bay,BAY,VARIANT,"",Fisher Bay,"","","",-33  48  00, 151  14  00,-33  47  54, 151  14  04,"",SYDNEY,9130,"","",           ,   ,    ,  
